state,year,quarter,entity_name,insurance_amount
andaman-&-nicobar-islands,2023,1,744103,286594.0
andaman-&-nicobar-islands,2023,1,744101,233281.0
andaman-&-nicobar-islands,2023,1,744105,256300.0
andaman-&-nicobar-islands,2023,1,744102,134841.0
andaman-&-nicobar-islands,2023,1,744107,54849.0
andaman-&-nicobar-islands,2023,1,744301,58745.0
andaman-&-nicobar-islands,2023,1,744112,49945.0
andaman-&-nicobar-islands,2023,1,744202,64193.0
andaman-&-nicobar-islands,2023,1,744205,40580.0
andaman-&-nicobar-islands,2023,1,744211,29149.0
andaman-&-nicobar-islands,2023,2,744103,341853.0
andaman-&-nicobar-islands,2023,2,744105,255069.0
andaman-&-nicobar-islands,2023,2,744101,189989.0
andaman-&-nicobar-islands,2023,2,744102,101875.0
andaman-&-nicobar-islands,2023,2,744104,34345.0
andaman-&-nicobar-islands,2023,2,744301,41299.0
andaman-&-nicobar-islands,2023,2,744207,43459.0
andaman-&-nicobar-islands,2023,2,744112,20427.0
andaman-&-nicobar-islands,2023,2,744107,24693.0
andaman-&-nicobar-islands,2023,2,744205,31404.0
andaman-&-nicobar-islands,2023,3,744103,306744.0
andaman-&-nicobar-islands,2023,3,744105,212575.0
andaman-&-nicobar-islands,2023,3,744101,213581.0
andaman-&-nicobar-islands,2023,3,744102,120875.0
andaman-&-nicobar-islands,2023,3,744202,60750.0
andaman-&-nicobar-islands,2023,3,744104,50544.0
andaman-&-nicobar-islands,2023,3,744112,46075.0
andaman-&-nicobar-islands,2023,3,744301,34636.0
andaman-&-nicobar-islands,2023,3,744205,25131.0
andaman-&-nicobar-islands,2023,3,744302,24369.0
andaman-&-nicobar-islands,2023,4,744103,415144.0
andaman-&-nicobar-islands,2023,4,744105,372312.0
andaman-&-nicobar-islands,2023,4,744101,241849.0
andaman-&-nicobar-islands,2023,4,744102,161224.0
andaman-&-nicobar-islands,2023,4,744104,80581.0
andaman-&-nicobar-islands,2023,4,744112,50671.0
andaman-&-nicobar-islands,2023,4,744107,71047.0
andaman-&-nicobar-islands,2023,4,744202,60749.0
andaman-&-nicobar-islands,2023,4,744301,52732.0
andaman-&-nicobar-islands,2023,4,744205,38962.0
andaman-&-nicobar-islands,2024,1,744103,456306.0
andaman-&-nicobar-islands,2024,1,744105,331342.0
andaman-&-nicobar-islands,2024,1,744101,287339.0
andaman-&-nicobar-islands,2024,1,744102,182213.0
andaman-&-nicobar-islands,2024,1,744202,110482.0
andaman-&-nicobar-islands,2024,1,744104,84757.0
andaman-&-nicobar-islands,2024,1,744112,62867.0
andaman-&-nicobar-islands,2024,1,744107,73449.0
andaman-&-nicobar-islands,2024,1,744207,62007.0
andaman-&-nicobar-islands,2024,1,744205,38204.0
andaman-&-nicobar-islands,2024,2,744103,438830.0
andaman-&-nicobar-islands,2024,2,744105,276393.0
andaman-&-nicobar-islands,2024,2,744101,251503.0
andaman-&-nicobar-islands,2024,2,744102,203605.0
andaman-&-nicobar-islands,2024,2,744112,77583.0
andaman-&-nicobar-islands,2024,2,744104,91213.0
andaman-&-nicobar-islands,2024,2,744107,52311.0
andaman-&-nicobar-islands,2024,2,744202,41210.0
andaman-&-nicobar-islands,2024,2,744211,43685.0
andaman-&-nicobar-islands,2024,2,744302,37685.0
andaman-&-nicobar-islands,2024,3,744103,554559.0
andaman-&-nicobar-islands,2024,3,744102,248439.0
andaman-&-nicobar-islands,2024,3,744105,221959.0
andaman-&-nicobar-islands,2024,3,744104,128652.0
andaman-&-nicobar-islands,2024,3,744101,145811.0
andaman-&-nicobar-islands,2024,3,744106,84623.0
andaman-&-nicobar-islands,2024,3,744202,67769.0
andaman-&-nicobar-islands,2024,3,744207,27399.0
andaman-&-nicobar-islands,2024,3,744302,28210.0
andaman-&-nicobar-islands,2024,3,744301,28067.0
andaman-&-nicobar-islands,2024,4,744103,521509.0
andaman-&-nicobar-islands,2024,4,744102,228528.0
andaman-&-nicobar-islands,2024,4,744105,268432.0
andaman-&-nicobar-islands,2024,4,744104,250205.0
andaman-&-nicobar-islands,2024,4,744101,117544.0
andaman-&-nicobar-islands,2024,4,744202,107445.0
andaman-&-nicobar-islands,2024,4,744106,90277.0
andaman-&-nicobar-islands,2024,4,744301,86256.0
andaman-&-nicobar-islands,2024,4,744107,55695.0
andaman-&-nicobar-islands,2024,4,744204,45960.0
andhra-pradesh,2020,2,515001,86088.0
andhra-pradesh,2020,2,515004,71761.0
andhra-pradesh,2020,2,516360,55455.0
andhra-pradesh,2020,2,516001,50705.0
andhra-pradesh,2020,2,533005,46454.0
andhra-pradesh,2020,2,517002,43236.0
andhra-pradesh,2020,2,530016,41153.0
andhra-pradesh,2020,2,517501,43013.0
andhra-pradesh,2020,2,533103,43311.0
andhra-pradesh,2020,2,515671,43610.0
andhra-pradesh,2020,3,535003,195870.0
andhra-pradesh,2020,3,524004,165322.0
andhra-pradesh,2020,3,517501,172113.0
andhra-pradesh,2020,3,517507,201732.0
andhra-pradesh,2020,3,516001,161284.0
andhra-pradesh,2020,3,524002,143659.0
andhra-pradesh,2020,3,530016,156016.0
andhra-pradesh,2020,3,524003,128862.0
andhra-pradesh,2020,3,520010,116222.0
andhra-pradesh,2020,3,516360,135236.0
andhra-pradesh,2020,4,515001,120291.0
andhra-pradesh,2020,4,516001,110284.0
andhra-pradesh,2020,4,517501,139080.0
andhra-pradesh,2020,4,530016,101891.0
andhra-pradesh,2020,4,517507,123376.0
andhra-pradesh,2020,4,530026,132499.0
andhra-pradesh,2020,4,524002,99952.0
andhra-pradesh,2020,4,522004,102846.0
andhra-pradesh,2020,4,522001,110129.0
andhra-pradesh,2020,4,522003,79955.0
andhra-pradesh,2021,1,530016,144342.0
andhra-pradesh,2021,1,516001,130242.0
andhra-pradesh,2021,1,530026,114038.0
andhra-pradesh,2021,1,517501,105904.0
andhra-pradesh,2021,1,520010,135466.0
andhra-pradesh,2021,1,517507,169433.0
andhra-pradesh,2021,1,522001,85999.0
andhra-pradesh,2021,1,520012,127092.0
andhra-pradesh,2021,1,524002,100699.0
andhra-pradesh,2021,1,520011,70827.0
andhra-pradesh,2021,2,523002,631953.0
andhra-pradesh,2021,2,523001,293906.0
andhra-pradesh,2021,2,517501,208258.0
